"codsubcuenta","concepto","codcontrapartida","debe","haber","id","idasientopre","orden"
"640.B","Sueldo",,"D",,"4","1","0"
"642.B","Seguridad Social Empresa",,"S",,"5","1","5"
"4751.B","Retenciones",,,"R","3","1","10"
"465.A","Pendiente de pago",,,"L","2","1","15"
"476.B","Seguridad Social Acreedora",,,"Z","6","1","20"
"465.A","Pago nómina {NOMBREMES}",,"I",,"16","2","0"
"572.B","Pago nómina {NOMBREMES}",,,"I","17","2","5"
"642.A","Cuota autónomo {NOMBREMES}",,"B",,"12","3","0"
"476.A","Cuota autónomo {NOMBREMES}",,,"B","13","3","5"
"476.A","Pago cuota autónomo {NOMBREMES}",,"B",,"14","4","0"
"572.A","Pago cuota autónomo {NOMBREMES}",,,"B","15","4","5"
"4750.A","Pago IVA modelo 303",,"B",,"21","5","0"
"572.C","Pago IVA modelo 303",,,"B","29","5","5"
"4751.A","Pago retención IRPF modelo 111",,"B",,"22","6","0"
"572.C","Pago retención IRPF modelo 111",,,"B","23","6","5"
"4751.A","Pago retención alquiler modelo 115",,"B",,"24","7","0"
"572.C","Pago retención alquiler modelo 115",,,"B","25","7","5"
"473.A","Pago fraccionado IRPF modelo 130",,"B",,"26","8","0"
"572.C","Pago fraccionado IRPF modelo 130",,,"B","27","8","5"
"476.A","Pago SS {NOMBREMES}",,"B",,"40","9","0"
"572.C","Pago SS {NOMBREMES}",,,"B","41","9","5"
"477.A","Regularización IVA {PERIODO}",,"R",,"42","10","0"
"472.A","Regularización IVA {PERIODO}",,,"S","43","10","5"
"4750.A","IVA a ingresar {PERIODO}",,,"Z","44","10","10"
"621.A","Alquiler {NOMBREMES}",,"B",,"45","11","0"
"472.A","IVA soportado alquiler {NOMBREMES}",,"I",,"46","11","5"
"4751.A","Retención IRPF alquiler {NOMBREMES}",,,"R","47","11","10"
"410.A","Alquiler {NOMBREMES}",,,"Z","48","11","15"
"410.A","Pago alquiler {NOMBREMES}",,"I",,"49","12","0"
"572.B","Pago alquiler {NOMBREMES}",,,"I","50","12","5"
"4752.A","Pago impuesto sociedades",,"B",,"51","13","0"
"572.C","Pago impuesto sociedades",,,"B","52","13","5"
"626.A","Comisiones bancarias {NOMBREMES}",,"B",,"53","14","0"
"572.C","Comisiones bancarias {NOMBREMES}",,,"B","54","14","5"
